Date,Open,High,Low,Close,Adj Close,Volume
2020-05-07,60.400002,61.110001,60.060001,60.169998,51.840839,957000
2020-05-08,61.029999,61.500000,60.630001,61.330002,52.840271,985400
2020-05-11,60.639999,61.900002,60.500000,61.720001,53.176292,1139800
2020-05-12,61.880001,62.270000,60.320000,60.340000,51.987312,1015000
2020-05-13,60.410000,60.540001,58.139999,58.520000,50.419250,1535500
2020-05-14,57.970001,59.610001,57.110001,59.529999,51.289436,1927900
2020-05-15,58.580002,59.380001,58.240002,58.740002,50.608795,1098800
2020-05-18,60.599998,61.959999,60.200001,61.639999,53.107349,1129600
2020-05-19,61.299999,61.320000,59.700001,60.029999,51.720222,1607800
2020-05-20,60.919998,62.400002,60.910000,61.869999,53.305508,1474700
2020-05-21,61.619999,61.779999,59.930000,59.980000,51.677139,1329300
2020-05-22,59.770000,59.810001,58.450001,58.869999,50.720798,1392800
2020-05-26,60.970001,63.820000,60.889999,63.779999,54.951122,2556400
2020-05-27,63.340000,67.339996,63.259998,66.970001,57.699543,2295000
2020-05-28,67.209999,67.320000,65.750000,66.250000,57.079205,1245500
2020-05-29,65.559998,66.169998,64.339996,64.849998,55.873001,1654000
2020-06-01,65.169998,67.599998,65.139999,67.339996,58.018311,1111500
2020-06-02,68.199997,70.070000,67.879997,69.330002,59.732845,1760600
2020-06-03,70.500000,71.019997,69.820000,69.940002,60.258408,1344200
2020-06-04,69.690002,70.620003,68.769997,70.440002,60.689194,947100
2020-06-05,73.230003,74.129997,71.480003,71.919998,61.964317,1231400
2020-06-08,73.279999,73.300003,71.489998,71.889999,61.938473,1109300
2020-06-09,70.360001,71.360001,70.250000,70.650002,60.870117,1590000
2020-06-10,70.860001,71.190002,69.589996,69.739998,60.086094,940000
2020-06-11,67.370003,68.019997,65.809998,65.989998,56.855186,1405000
2020-06-12,67.949997,68.260002,66.599998,67.300003,57.983860,2190400
2020-06-15,65.709999,68.330002,65.419998,67.370003,58.044170,1095300
2020-06-16,69.230003,69.669998,67.540001,68.480003,59.000515,1114200
2020-06-17,68.790001,68.820000,67.650002,67.980003,58.569721,591000
2020-06-18,67.570000,68.849998,67.160004,68.449997,58.974659,859000
2020-06-19,69.379997,69.379997,67.739998,67.989998,58.578331,1192200
2020-06-22,67.639999,68.230003,67.290001,68.040001,58.621422,651800
2020-06-23,68.709999,69.260002,67.809998,68.320000,58.862667,856600
2020-06-24,67.730003,68.029999,67.029999,67.279999,57.966625,1166000
2020-06-25,67.019997,68.500000,66.900002,68.279999,58.828197,872400
2020-06-26,67.419998,67.839996,66.410004,66.680000,57.449680,1170600
2020-06-29,67.309998,68.010002,66.809998,67.410004,58.078636,852400
2020-06-30,66.870003,68.209999,66.790001,67.800003,58.414658,785600
2020-07-01,68.180000,68.699997,67.360001,67.419998,58.087234,446200
2020-07-02,68.410004,69.320000,67.809998,68.160004,58.724808,881100
2020-07-06,69.199997,69.199997,68.269997,69.019997,59.465755,784300
2020-07-07,68.459999,68.629997,67.660004,67.930000,58.526646,766700
2020-07-08,68.070000,68.339996,67.449997,68.059998,58.638657,644100
2020-07-09,67.860001,68.099998,66.699997,67.160004,57.863243,1368300
2020-07-10,67.029999,68.510002,67.029999,68.480003,59.000515,665500
2020-07-13,68.690002,69.510002,68.440002,68.629997,59.129749,1204100
2020-07-14,68.559998,69.750000,68.019997,69.620003,59.982704,967600
2020-07-15,70.279999,71.459999,70.279999,70.860001,61.051064,834500
2020-07-16,70.339996,71.239998,70.250000,70.440002,60.689194,726100
2020-07-17,70.599998,70.809998,70.290001,70.620003,60.844280,610600
2020-07-20,70.580002,70.699997,69.870003,70.120003,60.413494,746100
2020-07-21,70.930000,71.570000,70.839996,71.089996,61.249214,740700
2020-07-22,71.050003,71.190002,70.720001,71.129997,61.283680,578800
2020-07-23,71.139999,71.419998,70.830002,70.910004,61.094143,3096900
2020-07-24,70.059998,70.120003,69.269997,69.839996,60.863190,4840900
2020-07-27,69.589996,69.949997,69.209999,69.849998,60.871902,623100
2020-07-28,69.660004,69.750000,69.050003,69.110001,60.227028,761800
2020-07-29,69.349998,69.870003,68.809998,69.830002,60.854477,661100
2020-07-30,68.620003,69.410004,68.220001,69.389999,60.471039,550800
2020-07-31,69.099998,69.209999,68.559998,69.089996,60.209591,670400
2020-08-03,69.260002,69.639999,68.959999,69.139999,60.253170,247200
2020-08-04,68.769997,69.849998,68.769997,69.430000,60.505901,631000
2020-08-05,69.989998,70.720001,69.860001,70.620003,61.542942,464900
2020-08-06,70.180000,71.279999,70.180000,71.110001,61.969963,625000
2020-08-07,70.779999,71.300003,70.300003,71.300003,62.135555,511300
2020-08-10,71.500000,72.080002,71.269997,72.029999,62.771706,583900
2020-08-11,73.040001,73.900002,72.900002,73.419998,63.983044,819800
2020-08-12,74.209999,74.690002,73.849998,73.980003,64.471069,596600
2020-08-13,73.970001,74.230003,73.550003,73.860001,64.366486,495200
2020-08-14,73.489998,73.889999,73.230003,73.540001,64.087624,395000
2020-08-17,73.589996,73.879997,73.400002,73.599998,64.139900,501500
2020-08-18,73.769997,74.040001,73.500000,73.889999,64.392632,520500
2020-08-19,74.260002,74.730003,73.879997,73.919998,64.418785,622800
2020-08-20,73.330002,74.529999,73.230003,74.330002,64.776085,637100
2020-08-21,73.830002,74.339996,73.650002,74.309998,64.758644,321700
2020-08-24,74.589996,75.220001,74.559998,74.889999,65.264091,565300
